Number of doors,Tipo di corpo,CO2 emissions,Luggage compartment volume,Dimensioni e Peso,Front Terrain Angle,Motore e trasporzione,Equipamento,Turning circle diameter,Rubber size,Acceleration from 0 to 100 km/h,Production period,Wading depth,Drive,Ground clearance,Payload,Number of cylinders,Cylinder Arrangement,Cylinder capacity,Length,Rear Terrain Angle,Category,Exports,Department of Environmental Protection,Altitude,Maximum Torque,Maximum power,On-road consumption,Performace,Ramp angle,Own weight,Gearbox,Number of persons to be transported,Width,Wheelbase,Mixed consumption,Urban consumption,Top speed,Total weight,Modern price,Fuel,Fuel tank
4 doors,Non disponibile,Non disponibile,649 l,Non disponibile,Non disponibile,Non disponibile,"12V connection, Door and centre console inserts: black piano lacquer, Interior rearview mirror, auto-darkening, Child safety lock on rear doors, Seat belt tensioning system, Power windows front and rear, Power transmission: all-wheel drive [4WD], Headrests front and rear [5 pcs],, Braking system: Anti-lock braking system [ABS],,, Braking system: emergency brake assist,, Light and rain sensor,, Lining: white pastel, Start-up locking, ISOFIX anchorages rear,, Stability control: ESP [electric vehicle stabilization program],, Upholstery: leatherette, Front armrest with 2 drink holders,, Tyre pressure monitoring system,, KEYLESS-GO start function,, Anti-Slip Regulation [ASR],, Alloy wheels: 20', Traffic sign recognition system, Centre lock with remote control, Exterior rear-view mirrors electrically adjustable, Heated, automatically darkening and folding, Air conditioning system [ACC] 2-zone automatic,, Airbag on driver and passenger side, side airbags front, curtain airbag,,, Microfilter [dust and pollen filter],, Spare brake light [third brake light with LED display], Spare wheel: instead of a spare wheel tyre repair kit,, Alarm system,, Lane change assist and lane keeping system, Cruise control [cruise control], active, Transmission: stepless automatic, Rear windscreen: heated,, Power steering: speed-dependent,, Tinted windows: UV protective, Roof design: glass roof, Rearview camera, Ultrasonic parking Control system front to rear, Passenger seat occupancy sensor for airbags, Seat heating: heated seats front, Crash protection: rollover protection, Anti-roll bar [Hill-Holder], Information system: Touchscreen navigation system, On-board computer, blind spot monitor, internet access, linguatronic [voice control], Steering wheel: height and distance control, multifunction, Seats: 12-way power front seats, height-adjustable driver and passenger seats, Lighting: LED fog lights front, LED daytime running light",12 m,235/35 R20,3.3 seconds,2021—,Non disponibile,All-wheel,Non disponibile,388 kg,Non disponibile,Non disponibile,Non disponibile,4 694 mm,Non disponibile,Mid-range,Sedan,Non disponibile,1.443 mm,660 Nm,"377 kW, 513 HP",Non disponibile,Non disponibile,Non disponibile,1 844 kg,Stepless automatic transmission,5 persons,1 850 mm,2 875 mm,Non disponibile,Non disponibile,261 km/h,2 232 kg,23 609 900 Ft,Gasoline,Non disponibile
4 doors,Non disponibile,Non disponibile,682 l,Non disponibile,Non disponibile,Non disponibile,"12V connection, Door and center console inserts: black piano lacquer, Aluminum trim on dashboard, doors, console, Interior rearview mirror, Auto darkening, Child lock on rear doors, Seat belt tensioning system, Power windows front and rear, Headrests front Rear [5 pcs],, Brake system: anti-lock braking system [ABS],,, Brake system: emergency brake assist,, Light and rain sensor,, Polishing: white pastel, Ignition lock, ISOFIX anchorages rear,, Stability control: ESP [electric vehicle stabilization program],, Upholstery: leatherette, Front armrest with 2 drink holders,, Tyre pressure monitoring system,, KEYLESS-GO start function,, Anti-Slip Regulation [ASR],, Alloy wheels: 18', Traffic sign recognition system, Remote central locking, Electrically adjustable exterior rear-view mirrors heated, automatically darkening and folding, Leg mat: textile, Air conditioning [ACC] 2-zone automatic,, Airbag on driver and passenger side, Side airbags front, Curtain airbag,,, Microfilter [dust and pollen filter],, Spare brake light [third brake light] pa with LED display], Spare wheel: tire repair kit instead of spare wheel,, Alarm system,, Lane change assist and lane keeping system, Cruise control [cruise control], active, Transmission: stepless automatic, Windshield rear: heated,, Power steering: speed-dependent,, Tinted windows: UV protective, Roof design: glass roof, Rear view camera, Ultrasonic parking control system front-rear, Passenger seat occupancy detection for airbags, Seat ventilation front, Crash protection: rollover protection, Lighting: LED daytime running light, Anti-roll [Hill-Holder], Information system: Touchscreen navigation system, On-board computer, Blind spot monitor, Internet access, Linguatronic [voice control], Steering wheel: heated, height-adjustable, Multi-function, Seats: 12-way power front seats, Height-adjustable driver and passenger seats, Seat heating: heated seats front, Heated seats back",12 m,235/45 R18,6.1 seconds,2023—,Non disponibile,Rear wheel,138 mm,394 kg,Non disponibile,Non disponibile,Non disponibile,4 720 mm,Non disponibile,Mid-range,Sedan,Non disponibile,1.441 mm,420 Nm,"208 kW, 283 hp",Non disponibile,Non disponibile,Non disponibile,1 765 kg,Stepless automatic transmission,5 persons,1 850 mm,2 875 mm,Non disponibile,Non disponibile,201 km/h,2 159 kg,17 846 900 Ft,Gasoline,Non disponibile
5 doors,Non disponibile,Non disponibile,491 l,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,215/80 R15 S,15.3 seconds,1989-1993,Non disponibile,All-wheel,Non disponibile,630 kg,6 cylinders,VOLTS,2 959 cm³,4 470 mm,Non disponibile,Off-road vehicle,City SUV (crossover),Non disponibile,"1,745 mm",240 Nm,"105 kW, 143 HP",Non disponibile,Non disponibile,Non disponibile,1 800 kg,Manual (5-speed) transmission,5 persons,1 690 mm,2 625 mm,Non disponibile,Non disponibile,165 km/h,2 430 kg,Non disponibile,Gasoline,65 l
5 doors,Non disponibile,Non disponibile,491 l,Non disponibile,Non disponibile,Non disponibile,"Differential lock,, electric, heated mirrors [2 pcs], Power windows [4 pcs], Power transmission: all-wheel drive [4WD], Head restraints [4 pcs], Tachometer, Rear wiper system, Upholstery: suede,, Catalytic converter,, Central locking, Mechanical transmission, 5-speed, Sunroof, mechanical [1 pcs],, Power steering,,, Tinted glazing",Non disponibile,215/80 R15 S,15.3 seconds,1989-1993,Non disponibile,All-wheel,Non disponibile,630 kg,6 cylinders,VOLTS,2 959 cm³,4 470 mm,Non disponibile,Off-road vehicle,City SUV (crossover),Non disponibile,"1,745 mm",240 Nm,"105 kW, 143 HP",Non disponibile,Non disponibile,Non disponibile,1 800 kg,Manual (5-speed) transmission,5 persons,1 690 mm,2 625 mm,Non disponibile,Non disponibile,165 km/h,2 430 kg,Non disponibile,Gasoline,65 l
5 doors,Non disponibile,Non disponibile,491 l,Non disponibile,Non disponibile,Non disponibile,"Differential lock,, electric, heated mirrors [2 pcs], Power windows [4 pcs], Power transmission: all-wheel drive [4WD], Head restraints [4 pcs], Tachometer, Rear wiper washer, Rear seat, divisional, Ignition lock, Central locking, Mechanical Transmission, 5-speed,, Power steering,,, Tinted glazing,, Sliding roof, electric [1pc]",Non disponibile,215/80 R15 100 S,16.0 seconds,1993-1996,Non disponibile,All-wheel,Non disponibile,600 kg,4 cylinders,Soros,"2,982 cm³",4 490 mm,Non disponibile,Off-road vehicle,City SUV (crossover),Non disponibile,1 755 mm,295 Nm,"92 kW, 125 HP",Non disponibile,Non disponibile,Non disponibile,1 910 kg,Manual (5-speed) transmission,5 persons,1 790 mm,2 625 mm,Non disponibile,Non disponibile,147 km/h,2 510 kg,Non disponibile,Diesel,65 l
5 doors,Non disponibile,136 g/km,354 l,Non disponibile,Non disponibile,Non disponibile,"Fuel tank top with interior opening, Power windows front, Head restraints front and rear [5 pcs],, Braking system: Anti-lock braking system [ABS],, Headlight distance adjustment from inside, Electric, Warning sound when seat belts are applied, Warning sound signal for headlight activation Condition monitoring, Tachometer, Child seat preparation [ISOFIX], Rear wiper system, Starter lock, Information system: On-board computer, Upholstery: fabric, Wheels: 15', Steering wheel: height-adjustable, Remote central locking , Exterior rear-view mirrors in body colour, Electrically adjustable and heated exterior rear-view mirrors, Air conditioning [AC],, Driver and passenger airbag, Side airbags front,,, Microfilter [dust and pollen filter],, Cup holder front, Spare brake Lamp [third brake light], Spare wheel: emergency wheel, 4 speakers, Transmission: 6-speed mechanical,, Power steering: speed-dependent,, Tinted windows, Seats rear: folding and dividing, Seats: height-adjustable driver's seat, Emergency alarms and handles in body color",11m,195/65 R15,13.1 s,2009.,Non disponibile,Front wheel,Non disponibile,435 kg,4 cylinders,Soros,"1,329 cm³",4 220mm,Non disponibile,Lower middle category,Hatchback,EURO 4,"1,515mm",132 Nm,"74 kW, 101 HP",5.1 l/100km,Non disponibile,Non disponibile,1 285 kg,Manual (6-speed) transmission,5 persons,1.760mm,"2,600mm","5,8 l/100km","7,1 l/100km",175 km/h,1 720 kg,4 115 000 HUF,Gasoline,55 l
3 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Headrests [2 pcs],Non disponibile,155/82 R13,Non disponibile,1990-1991,Non disponibile,Front wheel,Non disponibile,420 kg,4 cylinders,Soros,1.085 cm³,Non disponibile,Non disponibile,Small cars,Combi,Non disponibile,Non disponibile,Non disponibile,"37 kW, 50 HP",Non disponibile,Non disponibile,Non disponibile,880 kg,Manual (4-speed) transmission,4 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"1,300 kg",Non disponibile,Gasoline,Non disponibile
3 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Headrest [1 pcs],Non disponibile,Non disponibile,Non disponibile,1979-1990,Non disponibile,Front wheel,Non disponibile,Non disponibile,2 cylinders,Soros,594 cm³,Non disponibile,Non disponibile,Small cars,Combi,Non disponibile,Non disponibile,Non disponibile,"19 kW, 26 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (4-speed) transmission,4 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1966-1990,Non disponibile,Front wheel,Non disponibile,Non disponibile,2 cylinders,Non disponibile,594 cm³,Non disponibile,Non disponibile,Non disponibile,Combi,Non disponibile,Non disponibile,Non disponibile,"19 kW, 26 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1966-1990,Non disponibile,Front wheel,Non disponibile,Non disponibile,2 cylinders,Non disponibile,594 cm³,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"19 kW, 26 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1963—,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"1,493 cm³",Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"40 kW, 54 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1965-1973,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Boxer,"1,584 cm³",Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"40 kW, 54 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1965-1973,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Boxer,"1,584 cm³",Non disponibile,Non disponibile,Non disponibile,Hatchback,Non disponibile,Non disponibile,Non disponibile,"40 kW, 54 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1961-1973,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Boxer,"1,493 cm³",Non disponibile,Non disponibile,Non disponibile,Combi,Non disponibile,Non disponibile,Non disponibile,"33 kW, 45 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1967-1972,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Soros,1 780 cm³,Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"74 kW, 101 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1968-1972,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Soros,"1,986 cm³",Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"74 kW, 101 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1971-1972,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Soros,"1,986 cm³",Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"70 kW, 95 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1972-1974,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Soros,"1,986 cm³",Non disponibile,Non disponibile,Non disponibile,Combi,Non disponibile,Non disponibile,Non disponibile,"74 kW, 101 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
